owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
psf,requests,4746,2018-10-01 02:25:44+00:00,,,nateprewitt,manual_or_unknown
psf,requests,4649,2018-10-03 16:11:33+00:00,,,emmnx,manual_or_unknown
pallets,flask,3297,2019-07-10 19:42:59+00:00,,,davidism,manual_or_unknown
pallets,flask,3320,2019-08-01 19:56:41+00:00,,,davidism,manual_or_unknown
scrapy,scrapy,3985,2019-09-07 23:23:16+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,3953,2019-09-16 12:04:07+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,3995,2019-09-27 14:32:27+00:00,,,rsarky,manual_or_unknown
scrapy,scrapy,4007,2019-10-02 07:06:23+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4076,2019-10-15 18:49:51+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4072,2019-10-16 12:15:00+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,3976,2019-10-28 09:53:54+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4032,2019-10-30 08:09:13+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4035,2019-10-30 09:14:16+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4014,2019-10-31 12:31:34+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4124,2019-11-08 17:49:34+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4145,2019-12-09 12:32:11+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4229,2019-12-17 14:43:31+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4264,2020-02-06 21:21:34+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4260,2020-02-07 18:40:51+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4277,2020-02-10 18:48:32+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4332,2020-02-19 15:49:20+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4175,2020-02-25 19:46:06+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4268,2020-02-28 12:17:03+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4308,2020-02-28 19:42:08+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4408,2020-03-12 13:44:50+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,4285,2020-04-03 02:27:47+00:00,,,elacuesta,manual_or_unknown
pallets,flask,3523,2020-04-03 12:42:51+00:00,,,scribu,manual_or_unknown
scrapy,scrapy,4289,2020-04-09 19:45:17+00:00,,,pwinzer,manual_or_unknown
scrapy,scrapy,4475,2020-04-15 17:42:50+00:00,,,kmike,manual_or_unknown
