owner,repo,project,issue_number,title,created_at,closed_at,fix_time_days,comments,labels,html_url,closed_event_created_at,commit_id,commit_message,commit_date,total_changes,additions,deletions,changed_files,linked_to_commit,closure_type
psf,requests,psf/requests,2620,Connect Error or Timeout Error,2015-06-01 14:00:42+00:00,2015-06-02 20:53:50+00:00,1.286898148148148,6,Bug;Planned,https://github.com/psf/requests/issues/2620,2015-06-02 20:53:50+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2599,"Auth handler should be calling close, not release_conn",2015-05-13 15:10:24+00:00,2015-05-14 06:15:18+00:00,0.6284027777777778,2,Bug;Planned;Contributor Friendly,https://github.com/psf/requests/issues/2599,2015-05-14 06:15:18+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2540,MisssingSchema error message does not handle unicode input correctly,2015-04-08 00:56:52+00:00,2015-04-11 19:11:01+00:00,3.759826388888889,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2540,2015-04-11 19:11:01+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2530,"__build__ out of sync? Still at 0x020503, looks like 2.5.3 rather than 2.6.0",2015-04-05 21:21:27+00:00,2015-04-06 21:54:22+00:00,1.0228587962962965,1,Bug,https://github.com/psf/requests/issues/2530,2015-04-06 21:54:22+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2503,Redirect doesn't pass all parameters,2015-03-17 13:41:37+00:00,2015-05-03 15:06:00+00:00,47.05859953703703,4,Bug,https://github.com/psf/requests/issues/2503,2015-05-03 15:06:00+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2455,"CERTIFICATE_VERIFY_FAILED with 2.5.2, works with 2.5.1",2015-02-24 01:11:01+00:00,2015-05-31 12:57:28+00:00,96.49059027777776,111,Bug;Planned,https://github.com/psf/requests/issues/2455,2015-05-31 12:57:28+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2345,Using RecentlyUsedContainer for session cache breaks pickling,2014-11-16 15:52:15+00:00,2014-11-30 19:12:43+00:00,14.139212962962963,5,Bug,https://github.com/psf/requests/issues/2345,2014-11-30 19:12:43+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2336,Timeout for connecting to proxy,2014-11-13 12:10:06+00:00,2015-03-02 09:49:24+00:00,108.90229166666668,38,Bug,https://github.com/psf/requests/issues/2336,2015-03-02 09:49:24+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2255,Session requests should respect verify=False,2014-09-29 01:06:48+00:00,2015-08-31 09:45:01+00:00,336.3598726851852,20,Bug,https://github.com/psf/requests/issues/2255,2015-08-31 09:45:01+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2250,Link header parsing breaks if attribute value has commas,2014-09-25 20:01:41+00:00,2014-10-10 18:30:18+00:00,14.93653935185185,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2250,2014-10-10 18:30:18+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2229,full URL sent instead of path when using https proxy,2014-09-16 23:23:44+00:00,2015-05-03 15:12:33+00:00,228.65890046296292,9,Bug,https://github.com/psf/requests/issues/2229,2015-05-03 15:12:33+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2228,Documentation examples.,2014-09-16 15:15:50+00:00,2021-11-28 03:00:28+00:00,2629.4893287037034,15,Bug;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/2228,2021-11-28 03:00:28+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2169,Connection keep alive issue,2014-08-18 13:51:38+00:00,2014-08-29 14:24:23+00:00,11.022743055555557,26,Bug;Please Review,https://github.com/psf/requests/issues/2169,2014-08-29 14:24:24+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2144,socket.error exception not caught/wrapped in a requests exception (ConnectionError perhaps?),2014-07-22 10:23:48+00:00,2014-07-27 13:59:08+00:00,5.149537037037037,1,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2144,2014-07-27 13:59:08+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2063,Mutating Session.proxies does not work,2014-05-25 19:42:09+00:00,2014-05-28 08:06:33+00:00,2.5169444444444444,22,Bug,https://github.com/psf/requests/issues/2063,2014-05-28 08:06:33+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2003,auth kwarg cannot be used to authenticate an HTTPS request through a HTTP proxy,2014-04-15 04:18:58+00:00,2016-12-17 17:00:48+00:00,977.5290509259258,7,Bug;Planned;Breaking API Change,https://github.com/psf/requests/issues/2003,2016-12-17 17:00:49+00:00,,,,,,,,False,manual_or_unknown
