owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url
psf,requests,2229,full URL sent instead of path when using https proxy,closed,2014-09-16T23:23:44Z,2015-05-03T15:12:33Z,9,Bug,https://github.com/psf/requests/issues/2229
psf,requests,2228,Documentation examples.,closed,2014-09-16T15:15:50Z,2021-11-28T03:00:28Z,15,Bug;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/2228
psf,requests,2169,Connection keep alive issue,closed,2014-08-18T13:51:38Z,2014-08-29T14:24:23Z,26,Bug;Please Review,https://github.com/psf/requests/issues/2169
psf,requests,2144,socket.error exception not caught/wrapped in a requests exception (ConnectionError perhaps?),closed,2014-07-22T10:23:48Z,2014-07-27T13:59:08Z,1,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2144
psf,requests,2063,Mutating Session.proxies does not work,closed,2014-05-25T19:42:09Z,2014-05-28T08:06:33Z,22,Bug,https://github.com/psf/requests/issues/2063
psf,requests,2003,auth kwarg cannot be used to authenticate an HTTPS request through a HTTP proxy,closed,2014-04-15T04:18:58Z,2016-12-17T17:00:48Z,7,Bug;Planned;Breaking API Change,https://github.com/psf/requests/issues/2003
psf,requests,1871,Our use of urllib3's ConnectionPools is not threadsafe.,closed,2014-01-20T11:09:18Z,2018-02-24T14:55:18Z,27,Bug;Planned,https://github.com/psf/requests/issues/1871
psf,requests,1767,HTTP Basic Auth credentials extracted from URL are %-encoded,closed,2013-12-01T09:22:15Z,2013-12-04T01:36:00Z,2,Bug;Fixed,https://github.com/psf/requests/issues/1767
psf,requests,1755,Streaming uploads with HTTPBasicAuth causes stuck on resending the request,closed,2013-11-24T12:30:06Z,2013-12-05T23:04:56Z,5,Bug;Fixed,https://github.com/psf/requests/issues/1755
psf,requests,1746,Don't lowercase the whole URL when opening a connection,closed,2013-11-19T08:53:32Z,2013-12-05T23:05:08Z,8,Bug;Fixed,https://github.com/psf/requests/issues/1746
psf,requests,1732,SNI support broken on Python 2.X in 2.0.1.,closed,2013-11-09T08:57:36Z,2013-12-05T23:05:18Z,3,Bug;Fixed,https://github.com/psf/requests/issues/1732
psf,requests,1711,Regression 2.0.1: Using MozillaCookieJar does not work,closed,2013-10-29T12:27:21Z,2013-12-04T01:33:33Z,4,Bug;Fixed,https://github.com/psf/requests/issues/1711
psf,requests,1703,proxy with authentication fails in requests 2.0,closed,2013-10-25T08:30:03Z,2013-12-05T23:05:28Z,11,Bug;Fixed,https://github.com/psf/requests/issues/1703
psf,requests,1685,Possible Memory Leak,closed,2013-10-17T17:03:10Z,2016-04-16T04:18:33Z,54,Bug,https://github.com/psf/requests/issues/1685
psf,requests,1655,Session hooks broken,closed,2013-10-07T10:24:32Z,2013-12-04T01:33:42Z,7,Bug;Contributor Friendly;Fixed,https://github.com/psf/requests/issues/1655
psf,requests,1648,"Header ""Transfer-Encoding: chunked"" set even if Content-Length is provided which causes body to not actually get chunked",closed,2013-10-04T00:02:56Z,2017-03-02T16:28:35Z,52,Bug;Breaking API Change,https://github.com/psf/requests/issues/1648
psf,requests,1642,Requests doesn't clean up on failed streaming uploads.,closed,2013-10-02T12:33:03Z,2013-12-05T23:06:26Z,2,Bug,https://github.com/psf/requests/issues/1642
psf,requests,1630,Cookies not persisted when set via functional API.,closed,2013-09-27T08:50:44Z,2013-10-07T23:22:49Z,7,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1630
psf,requests,1622,Requests 2.0.0 breaks SSL proxying via https_port of Squid.,closed,2013-09-25T03:16:36Z,2015-01-19T09:25:49Z,40,Bug;Propose Close,https://github.com/psf/requests/issues/1622
psf,requests,1572,urllib3 exceptions passing through requests API,closed,2013-09-03T09:36:19Z,2015-10-05T14:09:46Z,13,Bug;Planned;Contributor Friendly,https://github.com/psf/requests/issues/1572
psf,requests,1561,Header keys lose their case,closed,2013-08-30T14:43:45Z,2017-01-09T16:17:38Z,11,Bug;Planned,https://github.com/psf/requests/issues/1561
psf,requests,1434,"stream_decode_response_unicode fails in Python 3 at rv = decoder.decode('', final=True)",closed,2013-06-25T15:17:55Z,2013-06-26T07:38:03Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/1434
psf,requests,1397,bug report,closed,2013-05-30T18:41:17Z,2013-08-17T06:35:52Z,10,Bug,https://github.com/psf/requests/issues/1397
psf,requests,1336,Set cookie on 401,closed,2013-04-30T03:19:58Z,2013-08-15T07:59:47Z,47,Bug,https://github.com/psf/requests/issues/1336
